seed,scenario_fingerprint,failure_rate,failed_agent_ids,method,success,iterations,total_distance,blocked_moves,redundancy,runtime_seconds,assignment_requests,global_assignment_calls,local_repair_calls,lock_escalations,path_cost_evaluations,successful_astar_queries,unreachable_astar_queries
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,0.0,,lock_aware,1,24,176.0,0,0.0,1.2378823699982604,24,18,3,17,1399,1399,0
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,0.2,1;2;3,repeated,1,32,248.0,0,0.0,2.623920504003763,32,32,0,0,3543,3543,0
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,0.2,1;2;3,event_global,1,32,248.0,0,0.0,1.2886435390100814,32,14,0,0,1773,1773,0
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,0.2,1;2;3,local_repair,0,500,327.0,470,0.0,0.40245151201088447,500,5,5,0,332,332,0
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,0.2,1;2;3,lock_aware,1,33,255.0,0,0.0,1.4979186920099892,33,25,4,24,1916,1916,0
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,0.2,4;7;13,repeated,1,27,223.0,3,0.0,2.6530393559951335,27,27,0,0,3306,3306,0
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,0.2,4;7;13,event_global,1,27,223.0,3,0.0,2.074203583993949,27,16,0,0,2418,2418,0
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,0.2,4;7;13,local_repair,0,500,300.0,466,0.0,0.8179383840033552,500,9,9,0,324,324,0
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,0.2,4;7;13,lock_aware,1,25,211.0,3,0.0,0.9259109079866903,25,14,8,13,984,984,0
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,0.2,8;11;12,repeated,1,28,223.0,2,0.0,2.1640446950041223,28,28,0,0,3141,3141,0
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,0.2,8;11;12,event_global,1,28,223.0,2,0.0,1.156630566008971,28,14,0,0,1737,1737,0
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,0.2,8;11;12,local_repair,1,36,240.0,2,0.0,0.35275801000534557,36,5,5,0,322,322,0
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,0.2,8;11;12,lock_aware,1,28,225.0,2,0.0,1.3968611979944399,28,23,4,22,2038,2038,0
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,0.2,5;9;10,repeated,1,21,177.0,0,0.0,1.3386037650052458,21,21,0,0,2631,2631,0
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,0.2,5;9;10,event_global,1,21,177.0,0,0.0,0.7906689649971668,21,12,0,0,1560,1560,0
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,0.2,5;9;10,local_repair,0,500,187.0,488,0.0,0.40867396201065276,500,5,5,0,334,334,0
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,0.2,5;9;10,lock_aware,1,21,184.0,0,0.0,0.7259321690071374,21,15,4,14,1354,1354,0
4,cdbdf308308dd71e329118a2a893e15624480f1b166789148f15f5570f62b09f,0.2,0;2;12,repeated,1,33,272.0,2,0.0,2.24815120799758,33,33,0,0,3792,3792,0
4,cdbdf308308dd71e329118a2a893e15624480f1b166789148f15f5570f62b09f,0.2,0;2;12,event_global,1,33,272.0,2,0.0,1.3699621169944294,33,17,0,0,2253,2253,0
4,cdbdf308308dd71e329118a2a893e15624480f1b166789148f15f5570f62b09f,0.2,0;2;12,local_repair,0,500,307.0,474,0.0,0.39807199899223633,500,7,7,0,329,329,0
4,cdbdf308308dd71e329118a2a893e15624480f1b166789148f15f5570f62b09f,0.2,0;2;12,lock_aware,1,33,272.0,2,0.0,1.3750271369935945,33,22,6,21,1709,1709,0
5,084842ed1c0283d8869644d15d61f080bbc611ac9eed102df56952f8d59f0d98,0.2,6;9;14,repeated,1,31,247.0,0,0.0,4.476953900011722,31,31,0,0,3576,3576,0
5,084842ed1c0283d8869644d15d61f080bbc611ac9eed102df56952f8d59f0d98,0.2,6;9;14,event_global,1,31,247.0,0,0.0,2.0851574979897123,31,13,0,0,1494,1494,0
