algorithm,seed,obstacle_density,success,iterations,completed_tasks,total_distance,productive_agents,blocked_moves,unreachable_plans,redundant_target_events,redundant_target_ratio
path_cost_greedy,27,0.15,True,33,20,471.0,9,24,0,344,0.694949494949495
path_cost_greedy,28,0.15,True,32,20,451.0,10,29,0,368,0.7666666666666667
path_cost_greedy,29,0.15,True,20,20,296.0,13,4,0,172,0.5733333333333334
manhattan_greedy,0,0.2,True,39,20,561.0,11,24,0,420,0.717948717948718
manhattan_greedy,1,0.2,True,37,20,541.0,10,14,0,421,0.7585585585585586
manhattan_greedy,2,0.2,True,43,20,620.0,9,25,0,477,0.7395348837209302
manhattan_greedy,3,0.2,True,30,20,429.0,12,21,0,338,0.7511111111111111
manhattan_greedy,4,0.2,True,40,20,563.0,9,37,0,453,0.755
manhattan_greedy,5,0.2,True,40,20,577.0,9,23,0,423,0.705
manhattan_greedy,6,0.2,True,36,20,517.0,12,23,0,385,0.7129629629629629
manhattan_greedy,7,0.2,True,23,20,338.0,11,7,0,213,0.6173913043478261
manhattan_greedy,8,0.2,True,47,20,672.0,9,33,0,544,0.7716312056737589
manhattan_greedy,9,0.2,True,35,20,505.0,10,20,0,376,0.7161904761904762
manhattan_greedy,10,0.2,True,45,20,643.0,8,32,0,531,0.7866666666666666
manhattan_greedy,11,0.2,True,50,20,717.0,12,33,0,573,0.764
manhattan_greedy,12,0.2,True,31,20,430.0,9,35,0,311,0.6688172043010753
manhattan_greedy,13,0.2,True,37,20,533.0,12,22,0,413,0.7441441441441441
manhattan_greedy,14,0.2,True,40,20,561.0,12,39,0,442,0.7366666666666667
manhattan_greedy,15,0.2,True,31,20,456.0,11,9,0,333,0.7161290322580646
manhattan_greedy,16,0.2,True,19,20,273.0,13,12,0,163,0.5719298245614035
manhattan_greedy,17,0.2,True,33,20,453.0,10,42,0,351,0.7090909090909091
manhattan_greedy,18,0.2,True,26,20,375.0,10,15,0,265,0.6794871794871795
manhattan_greedy,19,0.2,True,33,20,467.0,9,28,0,347,0.701010101010101
manhattan_greedy,20,0.2,True,27,20,403.0,11,2,0,250,0.6172839506172839
manhattan_greedy,21,0.2,True,53,20,752.0,9,43,0,612,0.769811320754717
manhattan_greedy,22,0.2,True,21,20,313.0,10,2,0,196,0.6222222222222222
manhattan_greedy,23,0.2,True,26,20,371.0,12,19,0,240,0.6153846153846154
manhattan_greedy,24,0.2,True,33,20,478.0,14,17,0,344,0.694949494949495
manhattan_greedy,25,0.2,True,27,20,394.0,12,11,0,267,0.6592592592592592
manhattan_greedy,26,0.2,True,36,20,537.0,9,3,0,389,0.7203703703703703
manhattan_greedy,27,0.2,True,32,20,463.0,12,17,0,315,0.65625
manhattan_greedy,28,0.2,True,19,20,279.0,10,6,0,190,0.6666666666666666
manhattan_greedy,29,0.2,True,33,20,482.0,11,13,0,357,0.7212121212121212
path_cost_greedy,0,0.2,True,32,20,467.0,12,13,0,335,0.6979166666666666
path_cost_greedy,1,0.2,True,34,20,492.0,11,18,0,368,0.7215686274509804
path_cost_greedy,2,0.2,True,41,20,593.0,9,22,0,460,0.7479674796747967
path_cost_greedy,3,0.2,True,30,20,423.0,12,27,0,336,0.7466666666666667
