seed,scenario_fingerprint,algorithm,num_agents,num_tasks,obstacle_density,success,iterations,total_distance,productive_agents,blocked_moves,redundant_target_ratio,runtime_seconds
29,ab43e3b3607f7a699dd76ce8a7307bc4dc62a7165ef510020562b91002c625ff,path_cost_greedy,15,20,0.0,1,29,424.0,13,11,0.6850574712643678,4.449694533999718
29,ab43e3b3607f7a699dd76ce8a7307bc4dc62a7165ef510020562b91002c625ff,hungarian_astar,15,20,0.0,1,17,134.0,15,0,0.0,4.177283437005826
0,12ff6771771f1b7e99b60483735593c6cedb1d42d0fb9d6b153879c525fca8f3,manhattan_greedy,15,20,0.05,1,24,355.0,11,5,0.6583333333333333,0.08550651399855269
0,12ff6771771f1b7e99b60483735593c6cedb1d42d0fb9d6b153879c525fca8f3,path_cost_greedy,15,20,0.05,1,24,355.0,11,5,0.6583333333333333,1.9302219199962565
0,12ff6771771f1b7e99b60483735593c6cedb1d42d0fb9d6b153879c525fca8f3,hungarian_astar,15,20,0.05,1,20,152.0,13,0,0.0,1.976397978993191
1,313f2c1f1b5ee0e8f5b4533b0522d2858e71367d228cff83bbdb368dd897a539,manhattan_greedy,15,20,0.05,1,19,275.0,11,10,0.5859649122807018,0.06892543900175951
1,313f2c1f1b5ee0e8f5b4533b0522d2858e71367d228cff83bbdb368dd897a539,path_cost_greedy,15,20,0.05,1,19,279.0,12,6,0.6035087719298246,3.67550404999929
1,313f2c1f1b5ee0e8f5b4533b0522d2858e71367d228cff83bbdb368dd897a539,hungarian_astar,15,20,0.05,1,15,164.0,12,0,0.0,3.2038243810020504
2,a17522c05b3a4b951f77ef06536587265f4eb2d6c0cfed133669935ec56d384b,manhattan_greedy,15,20,0.05,1,27,387.0,11,18,0.674074074074074,0.1575098600005731
2,a17522c05b3a4b951f77ef06536587265f4eb2d6c0cfed133669935ec56d384b,path_cost_greedy,15,20,0.05,1,27,387.0,11,18,0.6864197530864198,5.209446957000182
2,a17522c05b3a4b951f77ef06536587265f4eb2d6c0cfed133669935ec56d384b,hungarian_astar,15,20,0.05,1,19,153.0,13,1,0.0,4.131986861997575
3,53722930e5de43edb5befd8a0c0ef99dfa9ad02f4f1028d1e39d3801f9bbca72,manhattan_greedy,15,20,0.05,1,21,307.0,12,8,0.6444444444444445,0.10643415900267428
3,53722930e5de43edb5befd8a0c0ef99dfa9ad02f4f1028d1e39d3801f9bbca72,path_cost_greedy,15,20,0.05,1,21,305.0,12,10,0.6444444444444445,2.5869710679980926
3,53722930e5de43edb5befd8a0c0ef99dfa9ad02f4f1028d1e39d3801f9bbca72,hungarian_astar,15,20,0.05,1,16,156.0,13,0,0.0,1.9894344399945112
4,3af0054dc9414aaf6a45b6bc788cd265ddb8a3ec64497c131a39c5afe704b59f,manhattan_greedy,15,20,0.05,1,21,299.0,9,16,0.6031746031746031,0.06523872500110883
4,3af0054dc9414aaf6a45b6bc788cd265ddb8a3ec64497c131a39c5afe704b59f,path_cost_greedy,15,20,0.05,1,21,299.0,9,16,0.6222222222222222,2.0208819129984477
