seed,scenario_fingerprint,failure_rate,failed_agent_ids,method,success,iterations,total_distance,blocked_moves,redundancy,runtime_seconds,assignment_requests,global_assignment_calls,event_replans,periodic_replans
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,0.2,6;8;14,repeated,1,26,216.0,0,0.0,2.982500452999375,26,26,nan,nan
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,0.2,6;8;14,event_global,1,26,216.0,0,0.0,1.6142165899946121,26,18,17,0
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,0.2,6;8;14,local_repair,1,55,262.0,0,0.0,0.3250245509989327,55,7,nan,nan
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,0.2,3;10;13,repeated,1,22,208.0,2,0.0,2.6234731639997335,22,22,nan,nan
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,0.2,3;10;13,event_global,1,22,208.0,2,0.0,1.4172671740088845,22,13,12,0
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,0.2,3;10;13,local_repair,0,500,255.0,478,0.0,0.3569163979991572,500,7,nan,nan
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,0.2,2;6;11,repeated,1,31,214.0,2,0.0,2.1802086609968683,31,31,nan,nan
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,0.2,2;6;11,event_global,1,31,214.0,2,0.0,1.5677034760010429,31,16,15,0
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,0.2,2;6;11,local_repair,1,55,262.0,4,0.0,0.29055506001168396,55,8,nan,nan
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,0.2,0;1;3,repeated,1,30,234.0,0,0.0,2.2030616739939433,30,30,nan,nan
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,0.2,0;1;3,event_global,1,30,234.0,0,0.0,1.0971425869938685,30,13,12,0
