algorithm,seed,failure_rate,failed_agents,success,iterations,tasks_completed,total_distance,productive_agents,surviving_agents,distance_per_task,distance_per_surviving_agent,tasks_per_surviving_agent
fixed_pso,0,0.2,3,True,13,20,448.0085007235841,10,12,22.400425036179207,37.334041726965346,1.6666666666666667
fixed_pso,1,0.2,3,True,9,20,310.9876692220444,10,12,15.54938346110222,25.915639101837034,1.6666666666666667
fixed_pso,2,0.2,3,True,12,20,403.0564052701728,13,12,20.152820263508637,33.5880337725144,1.6666666666666667
fixed_pso,3,0.2,3,True,13,20,431.144974542773,12,12,21.55724872713865,35.928747878564415,1.6666666666666667
fixed_pso,4,0.2,3,True,12,20,397.9573113054583,13,12,19.897865565272916,33.16310927545486,1.6666666666666667
fixed_pso,5,0.2,3,True,8,20,276.4019457779564,12,12,13.820097288897822,23.03349548149637,1.6666666666666667
fixed_pso,6,0.2,3,True,11,20,373.5503509987266,10,12,18.677517549936333,31.12919591656055,1.6666666666666667
fixed_pso,7,0.2,3,True,8,20,269.7137380155495,13,12,13.485686900777475,22.476144834629125,1.6666666666666667
fixed_pso,8,0.2,3,True,12,20,403.9618238377344,12,12,20.19809119188672,33.6634853198112,1.6666666666666667
fixed_pso,9,0.2,3,True,16,20,550.5385912342949,10,12,27.526929561714745,45.878215936191246,1.6666666666666667
fixed_pso,10,0.2,3,True,12,20,407.77154418816247,11,12,20.388577209408123,33.980962015680205,1.6666666666666667
fixed_pso,11,0.2,3,True,13,20,429.1182570118421,11,12,21.455912850592107,35.75985475098684,1.6666666666666667
fixed_pso,12,0.2,3,True,13,20,448.6158773345876,9,12,22.43079386672938,37.384656444548966,1.6666666666666667
fixed_pso,13,0.2,3,True,11,20,373.71258872812496,11,12,18.68562943640625,31.142715727343745,1.6666666666666667
fixed_pso,14,0.2,3,True,10,20,336.38749648162553,11,12,16.819374824081276,28.032291373468794,1.6666666666666667
fixed_pso,15,0.2,3,True,14,20,465.0014129247567,10,12,23.250070646237837,38.750117743729724,1.6666666666666667
fixed_pso,16,0.2,3,True,11,20,368.868727326595,11,12,18.44343636632975,30.739060610549583,1.6666666666666667
fixed_pso,17,0.2,3,True,8,20,268.54846275969135,10,12,13.427423137984567,22.379038563307613,1.6666666666666667
fixed_pso,18,0.2,3,True,12,20,409.4961480483754,10,12,20.47480740241877,34.124679004031286,1.6666666666666667
fixed_pso,19,0.2,3,True,11,20,376.6705137178842,8,12,18.83352568589421,31.38920947649035,1.6666666666666667
fixed_pso,20,0.2,3,True,10,20,344.87316551113594,10,12,17.243658275556797,28.739430459261328,1.6666666666666667
fixed_pso,21,0.2,3,True,22,20,741.4441922479471,12,12,37.07220961239735,61.78701602066226,1.6666666666666667
fixed_pso,22,0.2,3,True,10,20,341.88237538880514,11,12,17.094118769440257,28.490197949067095,1.6666666666666667
fixed_pso,23,0.2,3,True,8,20,271.06066573878167,11,12,13.553033286939083,22.58838881156514,1.6666666666666667
fixed_pso,24,0.2,3,True,12,20,406.0325256091448,8,12,20.30162628045724,33.83604380076206,1.6666666666666667
fixed_pso,25,0.2,3,True,7,20,235.2306860320328,12,12,11.761534301601639,19.602557169336066,1.6666666666666667
fixed_pso,26,0.2,3,True,6,20,212.51217460207943,12,12,10.625608730103972,17.70934788350662,1.6666666666666667
fixed_pso,27,0.2,3,True,9,20,304.6980276905331,10,12,15.234901384526655,25.391502307544425,1.6666666666666667
fixed_pso,28,0.2,3,True,8,20,278.2031236166173,11,12,13.910156180830864,23.183593634718108,1.6666666666666667
fixed_pso,29,0.2,3,True,11,20,374.3956192712996,12,12,18.71978096356498,31.19963493927497,1.6666666666666667
dynamic_pso,0,0.2,3,True,13,20,444.04103302557553,10,12,22.202051651278776,37.00341941879796,1.6666666666666667
dynamic_pso,1,0.2,3,True,9,20,306.8862935638303,10,12,15.344314678191514,25.57385779698586,1.6666666666666667
dynamic_pso,2,0.2,3,True,11,20,371.5681509114723,13,12,18.578407545573615,30.964012575956023,1.6666666666666667
dynamic_pso,3,0.2,3,True,12,20,400.0291915543664,11,12,20.001459577718318,33.33576596286387,1.6666666666666667
dynamic_pso,4,0.2,3,True,11,20,367.2700800369941,13,12,18.363504001849705,30.605840003082843,1.6666666666666667
dynamic_pso,5,0.2,3,True,8,20,272.16844803092977,12,12,13.608422401546488,22.68070400257748,1.6666666666666667
dynamic_pso,6,0.2,3,True,11,20,367.4278609476996,11,12,18.37139304738498,30.6189884123083,1.6666666666666667
dynamic_pso,7,0.2,3,True,7,20,234.89001561063031,13,12,11.744500780531515,19.574167967552526,1.6666666666666667
dynamic_pso,8,0.2,3,True,14,20,467.644381495827,12,12,23.38221907479135,38.970365124652254,1.6666666666666667
dynamic_pso,9,0.2,3,True,17,20,576.7503329934833,10,12,28.837516649674164,48.06252774945694,1.6666666666666667
dynamic_pso,10,0.2,3,True,12,20,405.5546819669577,11,12,20.277734098347885,33.79622349724647,1.6666666666666667
dynamic_pso,11,0.2,3,True,13,20,424.6145777315982,11,12,21.23072888657991,35.38454814429985,1.6666666666666667
dynamic_pso,12,0.2,3,True,13,20,445.31499552488833,9,12,22.265749776244416,37.10958296040736,1.6666666666666667
dynamic_pso,13,0.2,3,True,11,20,366.75940212261673,11,12,18.337970106130836,30.56328351021806,1.6666666666666667
